dataset,seed,method,method_key,ACC_old,ACC_new,ACC_overall,Balanced_ACC
a0910,1,EWC,EWC,0.6728919823601296,0.6376811594202898,0.6620103528029662,0.6623287354781776
a0910,1,DER++,DER++,0.7012645449232241,0.6699928724162509,0.6916002790117112,0.691883043171132
a0910,1,C-LoRA,C-LoRA,0.6799851230009032,0.6361368496079829,0.6664341569073755,0.666830640983027
a0910,1,X-DER,X-DER,0.728016577227565,0.7009978617248752,0.7196666544293109,0.7199109625767579
a0910,1,Full Replay Oracle,Full-Replay,0.735003453589076,0.7260631979092421,0.7322405374646647,0.7323213768851258
a0910,1,C-LoRA-GNCDM,C-LoRA-GNCDM,0.703575792997184,0.7208956996911381,0.7089283747567826,0.7087717650053702
a0910,1,ICD,ICD,0.543976824655991,0.65,0.5767424581243954,0.5757837772591936
a0910,1,CLEAN-Full,CLEAN-Full,0.7354816428457573,0.7215490615348064,0.7311758875142259,0.731301868452472
a0910,1,CLEAN-LoRA,CLEAN-LoRA,0.7354816428457573,0.7216678545972915,0.7312125995814824,0.7313375063712175
a0910,7,G-NCDM,G-NCDM(Anchor),0.736517719568567,,0.736517719568567,
a0910,7,EWC,EWC,0.6653737846023059,0.6424328819196959,0.6582840779764308,0.6584915137975229
a0910,7,DER++,DER++,0.6971999362414324,0.6729033024471371,0.6896912515143728,0.6899109461031437
a0910,7,C-LoRA,C-LoRA,0.6726794538016045,0.6421952957947256,0.6632585630896876,0.6635342063995407
a0910,7,X-DER,X-DER,0.725200573827108,0.7068781183178903,0.7195381621939131,0.7197038371743427
a0910,7,Full Replay Oracle,Full-Replay,0.7353488124966793,0.7266571632216678,0.7326627262381145,0.7327413177141758
a0910,7,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6662770309760374,0.6371465906391067,0.6572744961268769,0.6575378988749582
a0910,7,ICD,ICD,0.543976824655991,0.65,0.5767424581243954,0.5757837772591936
a0910,7,CLEAN-Full,CLEAN-Full,0.736517719568567,0.7239843193157519,0.7326443702044863,0.7327576994927225
a0910,7,CLEAN-LoRA,CLEAN-LoRA,0.736517719568567,0.7225588025659302,0.7322038253974081,0.7323300444677759
a0910,21,G-NCDM,G-NCDM(Anchor),0.7360395303118856,,0.7360395303118856,
a0910,21,EWC,EWC,0.6680569576536847,0.6372653837015918,0.6585410624472264,0.6588194854680568
a0910,21,DER++,DER++,0.6953934434939695,0.6764076977904491,0.6895260472117185,0.6896977197829133
a0910,21,C-LoRA,C-LoRA,0.6797460283725626,0.6385721073889284,0.6670215499834796,0.6673938520774723
a0910,21,X-DER,X-DER,0.7310982413261782,0.6914350201948206,0.7188406329160395,0.7191992749867708
a0910,21,Full Replay Oracle,Full-Replay,0.735800435683545,0.729567593252554,0.7338742244575792,0.7339305829542477
a0910,21,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6953403113543383,0.7232715609408411,0.7039722456771541,0.703719686230289
a0910,21,ICD,ICD,0.543976824655991,0.65,0.5767424581243954,0.5757837772591936
a0910,21,CLEAN-Full,CLEAN-Full,0.7360395303118856,0.7246376811594203,0.7325158779690885,0.732618975566146
a0910,21,CLEAN-LoRA,CLEAN-LoRA,0.7360395303118856,0.7247564742219055,0.732552590036345,0.7326546134848916
a0910,42,G-NCDM,G-NCDM(Anchor),0.7330109983529036,,0.7330109983529036,
a0910,42,EWC,EWC,0.6746187768981456,0.6537776193870278,0.6681779801020595,0.6683664296448102
a0910,42,DER++,DER++,0.6949418203071037,0.6851983844143502,0.6919306876170197,0.6920187895392776
a0910,42,C-LoRA,C-LoRA,0.674379682269805,0.6490852934188643,0.6665626491427732,0.6667913656145228
a0910,42,X-DER,X-DER,0.72822910578609,0.6990971727251128,0.7192261096222329,0.7194895258677968
a0910,42,Full Replay Oracle,Full-Replay,0.738536740874555,0.7337847469707769,0.7370681743088954,0.7371111427034216
a0910,42,C-LoRA-GNCDM,C-LoRA-GNCDM,0.7032570001593964,0.722855785222143,0.7093138514629759,0.7091366356782204
a0910,42,ICD,ICD,0.543976824655991,0.65,0.5767424581243954,0.5757837772591936
a0910,42,CLEAN-Full,CLEAN-Full,0.7330109983529036,0.7191732002851033,0.7287345350416682,0.7288596589325635
